,SampleID,year,Locality,Depth_proxy,Horizon,group,MG,MT,group2,Mean depth [cm],Moisture,pH,SOC,N,C/N ratio,BS,MiA proportion,MiA-OC,MiA-N,MaA proportion,MaA-OC,MaA-N
32,32,2021,Wet,46-60cm,Subsoil,2021-Wet,0.000719036,0.002217029,2021-Wet-46-60cm,47.5,30.76923077,6.411,2.53,0.36,7.027777778,51.30692348,97.70057486,2.99,0.34,0.999750062,21.59,1.1
33,33,2021,Wet,0-15cm,Topsoil,2021-Wet,0,0,2021-Wet-0-15cm,4.5,45.16129032,5.509,33.45,1.81,18.48066298,63.47048443,89.02225556,25.03,1.55,8.427106777,130.04,5.22
34,34,2021,Wet,46-60cm,Subsoil,2021-Wet,0,0.001146539,2021-Wet-46-60cm,47.5,34.375,6.03,6.72,0.62,10.83870968,52.92400487,97.37368684,4.21,0.42,1.40070035,43.62,1.69
35,35,2021,Wet,0-15cm,Topsoil,2021-Wet,0,0,2021-Wet-0-15cm,4.5,50,5.371,49.71,2.38,20.88655462,61.92871469,77.24431108,28.26,1.82,18.90472618,104.94,4.46
36,36,2021,Wet,46-60cm,Subsoil,2021-Wet,0,0,2021-Wet-46-60cm,47.5,23.33333333,5.847,3.43,0.41,8.365853659,50.10283592,97.15071232,3.11,0.34,1.724568858,9.64,0.58
37,37,2021,Intact,0-15cm,Organic Layer,2021-Intact,0,0,2021-Intact-0-15cm,2.5,82.75862069,4.515,401.78,9.34,43.01713062,85.42243594,,,,,,
38,38,2021,Intact,0-15cm,Organic Layer,2021-Intact,0,0,2021-Intact-0-15cm,10,93.75,6.085,376.27,11.2,33.59553571,91.92985381,,,,,,
39,39,2021,Intact,16-30cm,Organic Layer,2021-Intact,0,0,2021-Intact-16-30cm,24,90,5.913,345.71,14.48,23.875,89.66675176,,,,,,
40,40,2021,Intact,31-45cm,Topsoil,2021-Intact,0,0.001012203,2021-Intact-31-45cm,39,28,,22.74,1.52,14.96052632,,,,,,,
41,41,2021,Intact,31-45cm,Subsoil,2021-Intact,0,0,2021-Intact-31-45cm,45,48.27586207,6.126,27.47,1.88,14.61170213,49.38557518,96.72581855,29.15,1.89,1.549612597,164.93,7.37
42,42,2021,Intact,31-45cm,Topsoil,2021-Intact,0,0,2021-Intact-31-45cm,35,73.33333333,6.047,22.74,1.52,14.96052632,47.86467409,96.25187406,25.87,1.62,1.374312844,177.68,6.89
43,43,2021,Intact,31-45cm,Subsoil,2021-Intact,0,0.000568417,2021-Intact-31-45cm,43.5,27.90697674,6.066,25.02,1.76,14.21590909,46.99288212,96.17404351,25.54,1.79,1.550387597,196.35,8.51
44,44,2021,Intact,46-60cm,Topsoil,2021-Intact,0,0,2021-Intact-46-60cm,46.5,44.44444444,5.748,30.92,1.96,15.7755102,46.47149679,95.425,40.22,2.64,2.15,139.05,5.5
45,45,2021,Intact,46-60cm,Subsoil,2021-Intact,0,0.000471984,2021-Intact-46-60cm,56,42.30769231,6.038,10.61,0.81,13.09876543,42.29453876,97.12428107,13.18,1.01,1.250312578,49.03,2.12
46,46,2021,Intact,0-15cm,CryoOM,2021-Intact,0,0,2021-Intact-0-15cm,,52.94117647,5.586,75.82,4.49,16.88641425,53.92133034,91.947987,84.94,5.28,4.101025256,276.13,9.22
47,47,2021,Intact,31-45cm,CryoOM,2021-Intact,0,0.001525054,2021-Intact-31-45cm,40,47.82608696,5.676,75.8,4.48,16.91964286,54.95076332,91.97098549,96.25,5.67,4.352176088,306.29,10.45
48,48,2021,Intact,31-45cm,Topsoil,2021-Intact,0.000338162,0.005861466,2021-Intact-31-45cm,31.5,31.25,6.045,17.42,1.09,15.98165138,41.9674606,96.25093727,20.98,1.29,1.5996001,73.3,2.72
49,49,2021,Intact,31-45cm,Subsoil,2021-Intact,0,0.004470939,2021-Intact-31-45cm,33,27.90697674,5.953,8.28,0.63,13.14285714,38.23827278,97.64941235,8.12,0.57,0.900225056,66.02,2.04
50,50,2021,Intact,31-45cm,Topsoil,2021-Intact,0,0,2021-Intact-31-45cm,40,27.5862069,5.911,24.54,1.63,15.05521472,46.52269531,95.2,28.6,1.86,2.775,70.37,3.37
51,51,2021,Intact,46-60cm,Subsoil,2021-Intact,0,0,2021-Intact-46-60cm,56.5,27.63157895,6.097,22.69,1.58,14.36075949,50.72734377,95.475,12.8,0.96,2.05,75.42,3.85
52,52,2021,Intact,0-15cm,CryoOM,2021-Intact,0,0,2021-Intact-0-15cm,,39.47368421,5.852,72.72,4.22,17.23222749,58.24390271,94.07648088,86.3,5.15,2.674331417,298.4,9.11
